100,0.002965
250,0.029185
500,0.445101
750,3.26648
1000,14.0089
100,0.001949
250,0.030656
500,0.337668
750,2.38926
1000,13.5551
100,0.001777
250,0.029794
500,0.337646
750,2.37929
1000,13.572
100,0.001765
250,0.030285
500,0.331485
750,2.78306
1000,13.5539
100,0.002124
250,0.029739
500,0.334598
750,2.39898
1000,13.5599
100,0.002221
250,0.028754
500,0.33324
750,2.43655
1000,13.5475
100,0.001793
250,0.042206
500,0.348046
750,2.42057
1000,13.8286
100,0.001733
250,0.027976
500,0.341138
750,2.3744
1000,13.5369
100,0.00176
250,0.029417
500,0.33737
750,2.40935
1000,13.5572
100,0.001821
250,0.033955
500,0.335226
750,2.38206
1000,14.2142
100,0.00213
250,0.033206
500,0.363568
750,2.58217
1000,13.959
100,0.002359
250,0.032624
500,0.368425
750,2.58442
1000,13.9839
100,0.00216
250,0.0324
500,0.375445
750,2.53926
1000,13.8687
100,0.001743
250,0.030699
500,0.380479
750,2.52797
1000,13.8768
100,0.001828
250,0.040106
500,0.361135
750,2.54201
1000,13.8827
100,0.001738
250,0.031291
500,0.373179
750,2.89677
1000,13.8784
100,0.001769
250,0.031667
500,0.387852
750,2.52428
1000,13.9237
100,0.002728
250,0.039612
500,0.377814
750,2.51343
1000,13.8345
100,0.00178
250,0.030653
500,0.363617
750,2.54393
1000,13.8878
100,0.001759
250,0.03185
500,0.383624
750,2.86969
1000,13.8705
100,0.001735
250,0.031771
500,0.37378
750,2.52498
1000,13.871
100,0.001758
250,0.033023
500,0.366687
750,2.52375
1000,13.8295
100,0.001792
250,0.03116
500,0.368718
750,2.54382
1000,13.8361
100,0.001805
250,0.032387
500,0.380831
750,2.56901
1000,13.8673
100,0.001812
250,0.030531
500,0.351408
750,2.88965
1000,14.2312
100,0.002541
250,0.030316
500,0.361866
750,2.62798
1000,13.8311
100,0.00196
250,0.031749
500,0.357104
750,2.87934
1000,13.8606
100,0.001738
250,0.030825
500,0.366996
750,3.01575
1000,13.8492
100,0.002426
250,0.031327
500,0.38368
750,2.52636
1000,13.8537
100,0.001829
250,0.029234
500,0.358797
750,2.55552
1000,13.8475
100,0.002362
250,0.028471
500,0.350436
750,2.93251
1000,13.8886
