TAM_MP2,TIME_MP2
100,0.0149709
250,0.11017
500,0.927829
750,3.47735
1000,8.61426
100,0.0124155
250,0.11044
500,0.738613
750,3.02349
1000,9.43358
100,0.0191428
250,0.129475
500,0.840133
750,3.79579
1000,9.98398
100,0.0137732
250,0.168353
500,0.781768
750,3.06325
1000,9.03905
100,0.0117002
250,0.127459
500,0.951636
750,3.13146
1000,13.9366
100,0.0418919
250,0.207136
500,1.59128
750,4.76264
1000,10.903
100,0.0150448
250,0.130012
500,0.855847
750,3.48726
1000,9.57856
100,0.0123029
250,0.132265
500,0.881473
750,3.19375
1000,8.87151
100,0.0172884
250,0.145893
500,0.87012
750,3.25383
1000,10.1263
100,0.0132033
250,0.12737
500,0.854783
750,3.13141
1000,8.93363
100,0.0169275
250,0.119303
500,0.843876
750,3.16867
1000,8.8941
100,0.0352859
250,0.208089
500,0.995555
750,4.11957
1000,8.83985
100,0.0119224
250,0.122488
500,0.738714
750,2.74328
1000,7.97332
100,0.0134311
250,0.11343
500,0.734882
750,2.76082
1000,8.24821
100,0.012402
250,0.11033
500,0.724322
750,2.73621
1000,8.01164
100,0.0114486
250,0.115511
500,0.739851
750,2.78299
1000,8.28213
100,0.0254931
250,0.160245
500,1.3985
750,4.88813
1000,10.2216
100,0.0135738
250,0.139834
500,0.890403
750,3.30601
1000,9.35787
100,0.0191607
250,0.13059
500,0.933497
750,3.42796
1000,9.50295
100,0.0190783
250,0.131002
500,0.924747
750,3.30321
1000,9.48695
100,0.0131376
250,0.126312
500,0.99268
750,3.54104
1000,10.9054
100,0.0196652
250,0.175519
500,1.01717
750,3.86307
1000,9.73404
100,0.0253585
250,0.117434
500,0.830758
750,2.86745
1000,8.91109
100,0.0126602
250,0.140715
500,1.07087
750,4.35345
1000,9.27851
100,0.0270298
250,0.187247
500,0.831923
750,3.42022
1000,9.09343
100,0.0203311
250,0.114234
500,0.804825
750,3.03255
1000,9.10837
100,0.0130144
250,0.121241
500,0.817817
750,2.76791
1000,8.13126
100,0.0121837
250,0.113179
500,0.725943
750,2.72231
1000,8.66488
100,0.0134806
250,0.124999
500,0.755728
750,3.32549
1000,8.4984
100,0.0127015
250,0.116509
500,0.858303
750,2.8582
1000,8.63393
100,0.0113747
250,0.1192
500,0.755472
750,2.7047
1000,8.01365
